State,ST,Population
Minnesota,MN,5639632
Pennsylvania,PA,12801989
New York,NY,19453561
Arizona,AZ,7278717
Ohio,OH,11689100
Florida,FL,21477737
California,CA,39512223
Maryland,MD,6045680
Illinois,IL,12671821
Iowa,IA,3155070
Mississippi,MS,2976149
Massachusetts,MA,6949503
Georgia,GA,10617423
Wisconsin,WI,5822434
Michigan,MI,9986857
Oklahoma,OK,3956971
Indiana,IN,6732219
Louisiana,LA,4648794
Washington,WA,7614893
New Jersey,NJ,8882190
North Carolina,NC,10488084
South Dakota,SD,884659
Kentucky,KY,4467673
Alabama,AL,4903185
Arkansas,AR,3017825
Missouri,MO,6137428
Delaware,DE,973764
Texas,TX,28995881
West Virginia,WV,1792147
Connecticut,CT,3565287
Colorado,CO,5758736
New Hampshire,NH,1359711
New Mexico,NM,2096829
Nebraska,NE,1934408
Virginia,VA,8535519
Kansas,KS,2913314
Nevada,NV,3080156
Tennessee,TN,6833174
South Carolina,SC,5148714
DC,DC,705749
Utah,UT,3205958
Rhode Island,RI,1059361
Oregon,OR,4217737
Maine,ME,1344212
Idaho,ID,1787065
North Dakota,ND,762062
Montana,MT,1068778
